TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable      
164             55          3              C           1671198266         1671198281         2              B       
169             42          2              C           1671198253         1671198283         1              A       
136             58          5              Q           1671198269         1671198269         15              S       
171             72          1              C           1671198283         1671198283         2              A       
133             57          3              A           1671198268         1671198268         17              B       
78             27          3              D           1671198238         1671198245         41              S       
175             57          3              C           1671198268         1671198285         1              B       
98             43          4              P           1671198254         1671198254         34              A       
84             35          1              D           1671198246         1671198248         40              S       
135             58          5              A           1671198269         1671198269         19              B       
180             43          4              C           1671198254         1671198288         1              A       
181             58          5              C           1671198269         1671198288         1              B       
88             37          1              D           1671198248         1671198250         40              S       
182             77          1              C           1671198288         1671198288         2              A       
139             59          4              Q           1671198270         1671198270         21              S       
154             65          3              A           1671198276         1671198276         15              B       
189             65          3              C           1671198276         1671198291         1              B       
91             21          2              D           1671198232         1671198251         42              S       
101             44          4              P           1671198255         1671198255         38              A       
190             80          1              C           1671198291         1671198291         2              B       
193             44          4              C           1671198255         1671198293         1              A       
92             30          3              D           1671198241         1671198251         44              S       
165             70          5              C           1671198281         1671198281         14              B       
197             83          1              C           1671198294         1671198294         2              B       
94             39          1              D           1671198250         1671198252         45              S       
106             46          4              P           1671198257         1671198257         40              A       
203             46          4              C           1671198257         1671198297         1              A       
166             70          5              Q           1671198281         1671198281         17              S       
168             71          3              A           1671198282         1671198282         16              B       
204             86          1              C           1671198297         1671198297         2              A       
166             70          5              C           1671198281         1671198298         1              B       
96             41          1              D           1671198252         1671198253         47              S       
206             71          3              C           1671198282         1671198298         2              A       
207             87          1              C           1671198298         1671198298         2              B       
103             23          4              D           1671198234         1671198256         46              S       
173             73          3              A           1671198284         1671198284         18              B       
112             48          4              P           1671198259         1671198259         44              A       
213             89          1              C           1671198300         1671198300         3              B       
105             45          1              D           1671198256         1671198257         47              S       
216             91          1              C           1671198302         1671198302         2              A       
215             73          3              C           1671198284         1671198302         2              B       
217             48          4              C           1671198259         1671198303         2              A       
219             92          1              C           1671198303         1671198303         2              B       
111             25          4              D           1671198236         1671198259         47              S       
222             93          1              C           1671198304         1671198304         2              A       
176             74          3              A           1671198285         1671198285         22              B       
225             94          1              C           1671198305         1671198305         2              A       
224             92          1              D           1671198303         1671198305         3              S       
228             74          3              C           1671198285         1671198307         1              B       
230             96          1              C           1671198307         1671198307         2              B       
229             94          1              D           1671198305         1671198307         3              S       
131             56          2              P           1671198267         1671198267         43              A       
232             97          1              C           1671198308         1671198308         2              B       
234             98          1              C           1671198309         1671198309         2              A       
235             56          2              C           1671198267         1671198310         1              B       
226             93          1              D           1671198304         1671198306         6              S       
237             99          1              C           1671198310         1671198310         2              A       
178             75          3              A           1671198286         1671198286         27              B       
220             91          1              D           1671198302         1671198304         10              S       
243             75          3              C           1671198286         1671198313         1              B       
138             59          4              P           1671198270         1671198270         45              A       
244             102          1              C           1671198313         1671198313         2              B       
114             28          5              D           1671198239         1671198260         56              S       
246             103          1              C           1671198314         1671198314         2              A       
247             59          4              C           1671198270         1671198315         1              B       
118             34          2              D           1671198245         1671198262         56              S       
185             78          5              C           1671198289         1671198289         29              B       
186             78          5              Q           1671198289         1671198289         30              S       
152             64          2              P           1671198275         1671198275         44              A       
252             105          1              C           1671198316         1671198316         3              B       
186             78          5              C           1671198289         1671198319         1              A       
257             64          2              C           1671198275         1671198319         1              B       
125             51          1              D           1671198262         1671198265         56              S       
188             79          3              A           1671198290         1671198290         32              B       
127             52          1              D           1671198263         1671198266         57              S       
158             67          2              P           1671198278         1671198278         45              A       
262             109          1              C           1671198320         1671198320         3              B       
263             110          1              C           1671198321         1671198321         3              A       
264             79          3              C           1671198290         1671198322         2              B       
128             49          3              D           1671198260         1671198266         59              S       
266             67          2              C           1671198278         1671198323         2              A       
268             112          1              C           1671198323         1671198323         2              B       
130             36          2              D           1671198247         1671198267         60              S       
195             82          3              A           1671198293         1671198293         34              B       
161             68          2              P           1671198279         1671198279         49              A       
275             115          1              C           1671198326         1671198326         2              B       
134             50          3              D           1671198261         1671198269         60              S       
276             82          3              C           1671198293         1671198327         2              A       
277             116          1              C           1671198327         1671198327         2              B       
278             68          2              C           1671198279         1671198328         2              A       
280             117          1              C           1671198328         1671198328         2              B       
140             38          2              D           1671198249         1671198271         60              S       
283             118          1              C           1671198329         1671198329         2              A       
202             85          3              A           1671198296         1671198296         36              B       
