TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable
55             24          1              C           1671198405         1671198405         2              A
44             20          3              A           1671198401         1671198401         6              B
54             14          2              D           1671198394         1671198405         2              S
59             20          3              C           1671198401         1671198407         1              B
56             18          3              D           1671198399         1671198406         2              S
58             24          1              D           1671198405         1671198407         2              S
37             17          2              P           1671198398         1671198398         12              A
57             25          3              A           1671198406         1671198406         4              B
62             20          3              D           1671198401         1671198408         2              S
64             17          2              C           1671198398         1671198410         1              A
65             25          3              C           1671198406         1671198410         1              B
61             26          5              Q           1671198407         1671198407         4              S
66             28          1              C           1671198410         1671198410         2              A
67             17          2              D           1671198398         1671198411         1              S
69             29          1              C           1671198411         1671198411         2              A
60             26          5              A           1671198407         1671198407         6              B
68             25          3              D           1671198406         1671198411         2              S
71             30          1              C           1671198412         1671198412         2              A
73             26          5              C           1671198407         1671198413         1              B
70             28          1              D           1671198410         1671198412         2              S
72             29          1              D           1671198411         1671198413         2              S
63             27          3              A           1671198409         1671198409         7              B
75             30          1              D           1671198412         1671198414         2              S
41             19          2              P           1671198400         1671198400         17              A
77             32          1              C           1671198414         1671198414         3              B
76             26          5              D           1671198407         1671198414         3              S
79             27          3              C           1671198409         1671198416         2              A
80             34          1              C           1671198416         1671198416         2              B
82             32          1              D           1671198414         1671198417         1              S
81             19          2              C           1671198400         1671198417         2              A
84             27          3              D           1671198409         1671198418         1              S
86             36          1              C           1671198418         1671198418         1              B
85             34          1              D           1671198416         1671198418         2              S
87             19          2              D           1671198400         1671198419         2              S
90             38          1              C           1671198420         1671198420         1              B
46             21          4              P           1671198402         1671198402         20              A
88             36          1              D           1671198418         1671198419         3              S
93             21          4              C           1671198402         1671198422         1              B
91             38          1              D           1671198420         1671198421         2              S
96             21          4              D           1671198402         1671198423         1              S
51             23          4              P           1671198404         1671198404         21              A
95             40          4              Q           1671198422         1671198422         3              S
99             23          4              C           1671198404         1671198425         1              B
98             41          4              Q           1671198423         1671198423         3              S
102             23          4              D           1671198404         1671198426         1              S
74             31          2              P           1671198413         1671198413         15              A
101             42          4              Q           1671198425         1671198425         3              S
103             43          5              P           1671198426         1671198426         2              B
107             31          2              C           1671198413         1671198428         1              A
104             43          5              Q           1671198426         1671198426         3              S
110             31          2              D           1671198413         1671198429         1              S
109             45          3              A           1671198428         1671198428         2              B
106             44          4              Q           1671198427         1671198427         4              S
104             43          5              C           1671198426         1671198429         2              B
78             33          2              P           1671198415         1671198415         17              A
112             45          3              C           1671198428         1671198430         2              B
114             43          5              D           1671198426         1671198431         1              S
113             47          1              C           1671198430         1671198430         3              A
115             48          1              C           1671198431         1671198431         2              B
117             45          3              D           1671198428         1671198432         1              S
116             33          2              C           1671198415         1671198432         2              A
119             47          1              D           1671198430         1671198433         1              S
111             46          3              A           1671198429         1671198429         6              B
120             48          1              D           1671198431         1671198433         2              S
124             46          3              C           1671198429         1671198435         1              B
122             33          2              D           1671198415         1671198434         2              S
83             35          2              P           1671198417         1671198417         20              A
126             46          3              D           1671198429         1671198436         1              S
128             35          2              C           1671198417         1671198437         1              A
118             49          3              A           1671198432         1671198432         6              B
130             54          5              Q           1671198437         1671198437         1              S
132             49          3              C           1671198432         1671198438         1              B
131             35          2              D           1671198417         1671198438         1              S
135             49          3              D           1671198432         1671198439         1              S
89             37          2              P           1671198419         1671198419         22              A
121             50          3              A           1671198433         1671198433         8              B
134             55          4              Q           1671198438         1671198438         3              S
136             56          1              C           1671198439         1671198439         3              A
138             37          2              C           1671198419         1671198441         1              B
141             56          1              D           1671198439         1671198442         1              S
139             50          3              C           1671198433         1671198441         2              A
140             58          1              C           1671198441         1671198441         2              B
143             59          1              C           1671198442         1671198442         2              A
142             37          2              D           1671198419         1671198442         2              S
144             50          3              D           1671198433         1671198443         2              S
123             51          3              A           1671198434         1671198434         11              B
145             58          1              D           1671198441         1671198443         3              S
149             51          3              C           1671198434         1671198445         1              B
92             39          2              P           1671198421         1671198421         26              A
147             59          1              D           1671198442         1671198444         3              S
150             62          1              C           1671198445         1671198445         2              B
153             39          2              C           1671198421         1671198447         1              A
151             51          3              D           1671198434         1671198446         2              S
154             62          1              D           1671198445         1671198447         2              S
127             53          3              A           1671198436         1671198436         13              B
156             39          2              D           1671198421         1671198448         2              S
157             65          1              C           1671198448         1671198448         2              B
94             40          4              P           1671198422         1671198422         29              A
160             66          5              Q           1671198449         1671198449         2              S
158             53          3              C           1671198436         1671198449         2              B
163             40          4              C           1671198422         1671198451         1              A
161             65          1              D           1671198448         1671198450         2              S
165             68          1              C           1671198451         1671198451         2              A
164             53          3              D           1671198436         1671198451         2              S
129             54          5              A           1671198437         1671198437         16              B
166             40          4              D           1671198422         1671198452         2              S
169             54          5              C           1671198437         1671198453         1              B
168             68          1              D           1671198451         1671198453         2              S
97             41          4              P           1671198423         1671198423         33              A
171             54          5              D           1671198437         1671198454         2              S
148             61          3              A           1671198444         1671198444         12              B
174             41          4              C           1671198423         1671198456         1              A
175             61          3              C           1671198444         1671198456         1              B
176             73          1              C           1671198456         1671198456         2              A
177             41          4              D           1671198423         1671198457         1              S
178             61          3              D           1671198444         1671198457         2              S
159             66          5              C           1671198449         1671198449         10              B
181             73          1              D           1671198456         1671198458         2              S
183             66          5              C           1671198449         1671198459         1              B
100             42          4              P           1671198425         1671198425         36              A
180             74          5              Q           1671198457         1671198457         4              S
184             76          1              C           1671198459         1671198459         2              B
187             42          4              C           1671198425         1671198461         1              A
185             66          5              D           1671198449         1671198460         2              S
188             76          1              D           1671198459         1671198461         2              S
162             67          3              A           1671198450         1671198450         13              B
190             42          4              D           1671198425         1671198462         2              S
191             79          1              C           1671198462         1671198462         2              B
105             44          4              P           1671198427         1671198427         38              A
194             80          4              Q           1671198463         1671198463         2              S
192             67          3              C           1671198450         1671198463         2              B
197             44          4              C           1671198427         1671198465         1              A
195             79          1              D           1671198462         1671198464         2              S
198             67          3              D           1671198450         1671198465         2              S
167             69          3              A           1671198452         1671198452         15              B
199             44          4              D           1671198427         1671198466         2              S
200             69          3              C           1671198452         1671198467         1              B
125             52          2              P           1671198435         1671198435         34              A
202             69          3              D           1671198452         1671198468         1              S
203             52          2              C           1671198435         1671198469         1              A
170             70          3              A           1671198453         1671198453         17              B
205             52          2              D           1671198435         1671198470         1              S
206             70          3              C           1671198453         1671198470         1              B
207             70          3              D           1671198453         1671198471         1              S
133             55          4              P           1671198438         1671198438         35              A
172             71          3              A           1671198454         1671198454         19              B
208             84          1              C           1671198471         1671198471         3              A
209             85          1              C           1671198472         1671198472         2              B
213             84          1              D           1671198471         1671198474         1              S
210             55          4              C           1671198438         1671198473         2              A
211             71          3              C           1671198454         1671198473         2              B
214             85          1              D           1671198472         1671198474         2              S
212             86          1              C           1671198473         1671198473         3              A
216             55          4              D           1671198438         1671198475         2              S
218             88          1              C           1671198475         1671198475         2              A
179             74          5              C           1671198457         1671198457         20              B
217             71          3              D           1671198454         1671198475         3              S
220             89          1              C           1671198476         1671198476         2              A
222             74          5              C           1671198457         1671198477         1              B
219             86          1              D           1671198473         1671198476         3              S
221             88          1              D           1671198475         1671198477         3              S
182             75          3              A           1671198458         1671198458         22              B
137             57          2              P           1671198440         1671198440         41              A
223             89          1              D           1671198476         1671198478         3              S
226             75          3              C           1671198458         1671198480         1              B
228             57          2              C           1671198440         1671198481         1              A
224             74          5              D           1671198457         1671198478         4              S
229             75          3              D           1671198458         1671198481         2              S
189             78          3              A           1671198461         1671198461         22              B
230             57          2              D           1671198440         1671198482         2              S
231             92          1              C           1671198482         1671198482         2              B
146             60          2              P           1671198443         1671198443         42              A
232             78          3              C           1671198461         1671198483         2              B
234             92          1              D           1671198482         1671198484         1              S
235             94          1              C           1671198484         1671198484         2              A
236             60          2              C           1671198443         1671198485         1              B
237             78          3              D           1671198461         1671198485         1              S
240             94          1              D           1671198484         1671198486         1              S
196             81          3              A           1671198464         1671198464         24              B
241             60          2              D           1671198443         1671198486         2              S
152             63          2              P           1671198446         1671198446         43              A
244             81          3              C           1671198464         1671198488         1              B
239             95          5              Q           1671198485         1671198485         4              S
245             98          1              C           1671198488         1671198488         2              A
246             63          2              C           1671198446         1671198489         1              B
247             81          3              D           1671198464         1671198489         1              S
248             99          1              C           1671198489         1671198489         2              A
249             98          1              D           1671198488         1671198490         1              S
201             82          3              A           1671198467         1671198467         25              B
250             63          2              D           1671198446         1671198490         2              S
253             82          3              C           1671198467         1671198492         1              B
252             99          1              D           1671198489         1671198491         2              S
155             64          2              P           1671198447         1671198447         47              A
255             82          3              D           1671198467         1671198493         1              S
257             64          2              C           1671198447         1671198494         1              A
215             87          3              A           1671198474         1671198474         21              B
258             103          1              C           1671198494         1671198494         2              A
259             64          2              D           1671198447         1671198495         1              S
260             87          3              C           1671198474         1671198495         1              B
262             103          1              D           1671198494         1671198496         1              S
261             104          1              C           1671198495         1671198495         2              A
263             87          3              D           1671198474         1671198496         2              S
227             91          3              A           1671198480         1671198480         18              B
264             104          1              D           1671198495         1671198497         2              S
265             105          1              C           1671198497         1671198497         2              B
173             72          2              P           1671198455         1671198455         45              A
